,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,Year,Month,Day,Day_Of_Week,Week_Of_Year,CPA,CPC,CPL,RPC,Sales_ROI,CTR,CTR%,CVR,CVR%,LCR,LCR%,Profit,Profit%
10,Data Analytics Course,101.0,5399.0,236.79,20.0,6.0,0.06,1900.0,2024-11-14,Hyderabad,Desktop,Learn Data Analytics,2024,11,14,Thursday,46,39.46,2.34,11.84,316.67,8.02,0.02,1.87,0.06,5.94,0.3,30.0,7.02,702.4
11,Data Analytics Course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-22,Hyderabad,Desktop,Online Data Analytic,2024,11,22,Friday,47,41.62,2.06,8.67,226.0,5.43,0.03,2.8,0.05,4.95,0.21,21.0,4.43,442.96
12,Data Analytics Course,125.0,3259.0,191.3,18.0,3.0,0.02,1959.0,2024-11-27,Hyderabad,Desktop,Data Analytics Online,2024,11,27,Wednesday,48,63.77,1.53,10.63,653.0,10.24,0.04,3.84,0.02,2.4,0.17,17.0,9.24,924.05
13,Data Analytics Course,196.0,3742.0,207.46,10.0,7.0,0.04,1623.0,2024-11-12,Hyderabad,Mobile,Data Analytics Training,2024,11,12,Tuesday,46,29.64,1.06,20.75,231.86,7.82,0.05,5.24,0.04,3.57,0.7,70.0,6.82,682.32
14,Data Analytics Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-04-11,Hyderabad,Desktop,Data Analytics Training,2024,4,11,Thursday,15,20.57,1.02,16.83,170.89,8.31,0.04,4.2,0.05,4.97,0.82,82.0,7.31,730.95
15,Data Analytics Course,102.0,5461.0,201.69,22.0,8.0,0.08,1755.0,2024-11-29,Hyderabad,Desktop,Data Analytics Course,2024,11,29,Friday,48,25.21,1.98,9.17,219.38,8.7,0.02,1.87,0.08,7.84,0.36,36.0,7.7,770.15
16,Data Analytics Course,193.0,5159.0,215.09,15.0,9.0,0.05,1614.0,2024-10-11,Hyderabad,Mobile,Learn Data Analytics,2024,10,11,Friday,41,23.9,1.11,14.34,179.33,7.5,0.04,3.74,0.05,4.66,0.6,60.0,6.5,650.38
17,Data Analytics Course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,2024-11-12,Hyderabad,Mobile,Learn Data Analytics,2024,11,12,Tuesday,46,23.04,1.39,10.92,188.11,8.16,0.03,3.36,0.06,6.04,0.47,47.0,7.16,716.3
18,Data Analytics Course,150.0,3113.0,217.41,20.0,5.0,0.03,1785.0,2024-07-11,Hyderabad,Mobile,Analytics For Data,2024,7,11,Thursday,28,43.48,1.45,10.87,357.0,8.21,0.05,4.82,0.03,3.33,0.25,25.0,7.21,721.03
19,Data Analytics Course,145.0,5278.0,215.09,25.0,6.0,0.04,1516.0,2024-05-11,Hyderabad,Desktop,Data Analytics Course,2024,5,11,Saturday,19,35.85,1.48,8.6,252.67,7.05,0.03,2.75,0.04,4.14,0.24,24.0,6.05,604.82
20,Data Analytics Course,184.0,4143.0,223.3,10.0,10.0,0.05,1735.0,2024-11-21,Hyderabad,Tablet,Learn Data Analytics,2024,11,21,Thursday,47,22.33,1.21,22.33,173.5,7.77,0.04,4.44,0.05,5.43,1.0,100.0,6.77,676.98
21,Data Analytics Course,171.0,4154.0,184.23,30.0,7.0,0.04,1803.0,2024-08-11,Hyderabad,Tablet,Data Analytics Online,2024,8,11,Sunday,32,26.32,1.08,6.14,257.57,9.79,0.04,4.12,0.04,4.09,0.23,23.0,8.79,878.67
22,Data Analytics Course,122.0,5187.0,211.24,27.0,6.0,0.05,1322.0,2024-11-20,Hyderabad,Desktop,Online Data Analytic,2024,11,20,Wednesday,47,35.21,1.73,7.82,220.33,6.26,0.02,2.35,0.05,4.92,0.22,22.0,5.26,525.83
23,Data Analytics Course,188.0,5798.0,230.17,28.0,5.0,0.03,1452.0,2024-11-30,Hyderabad,Tablet,Data Analytics Course,2024,11,30,Saturday,48,46.03,1.22,8.22,290.4,6.31,0.03,3.24,0.03,2.66,0.18,18.0,5.31,530.84
24,Data Analytics Course,87.0,3718.0,215.09,12.0,3.0,0.03,1652.0,2024-11-20,Hyderabad,Tablet,Learn Data Analytics,2024,11,20,Wednesday,47,71.7,2.47,17.92,550.67,7.68,0.02,2.34,0.03,3.45,0.25,25.0,6.68,668.05
25,Data Analytics Course,88.0,3349.0,181.92,22.0,8.0,0.09,1456.0,2024-11-20,Hyderabad,Tablet,Learn Data Analytics,2024,11,20,Wednesday,47,22.74,2.07,8.27,182.0,8.0,0.03,2.63,0.09,9.09,0.36,36.0,7.0,700.35
26,Data Analytics Course,119.0,5323.0,205.92,17.0,10.0,0.08,1656.0,2024-02-11,Hyderabad,Desktop,Online Data Analytic,2024,2,11,Sunday,6,20.59,1.73,12.11,165.6,8.04,0.02,2.24,0.08,8.4,0.59,59.0,7.04,704.2
27,Data Analytics Course,138.96,5286.0,234.89,22.0,10.0,0.07,1688.0,2024-11-21,Hyderabad,Desktop,Data Analytics Training,2024,11,21,Thursday,47,23.49,1.69,10.68,168.8,7.19,0.03,2.63,0.07,7.2,0.45,45.0,6.19,618.63
28,Data Analytics Course,128.0,5469.0,188.49,16.0,3.0,0.02,1783.0,2024-11-23,Hyderabad,Mobile,Learn Data Analytics,2024,11,23,Saturday,47,62.83,1.47,11.78,594.33,9.46,0.02,2.34,0.02,2.34,0.19,19.0,8.46,845.94
29,Data Analytics Course,86.0,3351.0,237.75,21.0,9.0,0.1,1975.0,2024-11-13,Hyderabad,Mobile,Analytics For Data,2024,11,13,Wednesday,46,26.42,2.76,11.32,219.44,8.31,0.03,2.57,0.1,10.47,0.43,43.0,7.31,730.7
30,Data Analytics Course,188.0,4834.0,213.58,15.0,4.0,0.02,1590.0,2024-08-11,Hyderabad,Tablet,Online Data Analytic,2024,8,11,Sunday,32,53.4,1.14,14.24,397.5,7.44,0.04,3.89,0.02,2.13,0.27,27.0,6.44,644.45
31,Data Analytics Course,113.0,5065.0,212.37,11.0,5.0,0.04,1111.0,2024-11-22,Hyderabad,Desktop,Online Data Analytic,2024,11,22,Friday,47,42.47,1.88,19.31,222.2,5.23,0.02,2.23,0.04,4.42,0.45,45.0,4.23,423.14
32,Data Analytics Course,138.96,3872.0,244.38,20.0,4.0,0.03,1041.0,2024-11-12,Hyderabad,Tablet,Data Analytics Online,2024,11,12,Tuesday,46,61.1,1.76,12.22,260.25,4.26,0.04,3.59,0.03,2.88,0.2,20.0,3.26,325.98
33,Data Analytics Course,176.0,5509.0,234.59,19.0,7.0,0.04,1710.0,2024-03-11,Hyderabad,Tablet,Data Analytics Course,2024,3,11,Monday,11,33.51,1.33,12.35,244.29,7.29,0.03,3.19,0.04,3.98,0.37,37.0,6.29,628.93
34,Data Analytics Course,121.0,5610.0,214.96,23.0,8.0,0.07,1498.65,2024-11-25,Hyderabad,Mobile,Data Analytics Course,2024,11,25,Monday,48,26.87,1.78,9.35,187.33,6.97,0.02,2.16,0.07,6.61,0.35,35.0,5.97,597.18
35,Data Analytics Course,104.0,5275.0,236.48,16.0,9.0,0.09,1824.0,2024-11-01,Hyderabad,Desktop,Data Analytics Training,2024,11,1,Friday,44,26.28,2.27,14.78,202.67,7.71,0.02,1.97,0.09,8.65,0.56,56.0,6.71,671.31
36,Data Analytics Course,146.0,5939.0,242.9,11.0,8.0,0.05,1833.0,2024-07-11,Hyderabad,Desktop,Data Analytics Training,2024,7,11,Thursday,28,30.36,1.66,22.08,229.12,7.55,0.02,2.46,0.05,5.48,0.73,73.0,6.55,654.63
37,Data Analytics Course,123.0,5131.0,215.09,19.0,5.0,0.04,1307.0,2024-11-09,Hyderabad,Mobile,Learn Data Analytics,2024,11,9,Saturday,45,43.02,1.75,11.32,261.4,6.08,0.02,2.4,0.04,4.07,0.26,26.0,5.08,507.65
38,Data Analytics Course,90.0,5786.0,197.55,11.0,6.0,0.07,1704.0,2024-11-16,Hyderabad,Mobile,Online Data Analytic,2024,11,16,Saturday,46,32.93,2.2,17.96,284.0,8.63,0.02,1.56,0.07,6.67,0.55,55.0,7.63,762.57
39,Data Analytics Course,171.0,4304.0,192.61,17.0,10.0,0.06,1427.0,2024-11-26,Hyderabad,Mobile,Learn Data Analytics,2024,11,26,Tuesday,48,19.26,1.13,11.33,142.7,7.41,0.04,3.97,0.06,5.85,0.59,59.0,6.41,640.88
40,Data Analytics Course,94.0,5549.0,231.23,25.0,9.0,0.1,1849.0,2024-12-11,Hyderabad,Mobile,Data Analytics Training,2024,12,11,Wednesday,50,25.69,2.46,9.25,205.44,8.0,0.02,1.69,0.1,9.57,0.36,36.0,7.0,699.64
41,Data Analytics Course,112.0,4271.0,196.07,27.0,6.0,0.05,1209.0,2024-11-14,Hyderabad,Desktop,Data Analytics Online,2024,11,14,Thursday,46,32.68,1.75,7.26,201.5,6.17,0.03,2.62,0.05,5.36,0.22,22.0,5.17,516.62
42,Data Analytics Course,113.0,4418.0,191.55,27.0,10.0,0.09,1634.0,2024-09-11,Hyderabad,Mobile,Data Analytics Course,2024,9,11,Wednesday,37,19.16,1.7,7.09,163.4,8.53,0.03,2.56,0.09,8.85,0.37,37.0,7.53,753.04
43,Data Analytics Course,145.0,3721.0,180.95,21.0,7.0,0.05,1960.0,2024-11-29,Hyderabad,Desktop,Data Analytics Online,2024,11,29,Friday,48,25.85,1.25,8.62,280.0,10.83,0.04,3.9,0.05,4.83,0.33,33.0,9.83,983.17
44,Data Analytics Course,197.0,5783.0,204.46,23.0,6.0,0.03,1729.0,2024-11-01,Hyderabad,Tablet,Data Analytics Training,2024,11,1,Friday,44,34.08,1.04,8.89,288.17,8.46,0.03,3.41,0.03,3.05,0.26,26.0,7.46,745.64
45,Data Analytics Course,109.0,4866.0,236.78,27.0,5.0,0.05,1585.0,2024-11-15,Hyderabad,Mobile,Online Data Analytic,2024,11,15,Friday,46,47.36,2.17,8.77,317.0,6.69,0.02,2.24,0.05,4.59,0.19,19.0,5.69,569.4
46,Data Analytics Course,188.0,5857.0,222.98,20.0,4.0,0.02,1303.0,2024-11-11,Hyderabad,Desktop,Data Analytics Training,2024,11,11,Monday,46,55.74,1.19,11.15,325.75,5.84,0.03,3.21,0.02,2.13,0.2,20.0,4.84,484.36
47,Data Analytics Course,142.0,5103.0,234.1,24.0,3.0,0.02,1835.0,2024-08-11,Hyderabad,Mobile,Analytics For Data,2024,8,11,Sunday,32,78.03,1.65,9.75,611.67,7.84,0.03,2.78,0.02,2.11,0.12,12.0,6.84,683.85
48,Data Analytics Course,168.0,4653.0,240.84,27.0,9.0,0.05,1367.0,2024-11-24,Hyderabad,Mobile,Online Data Analytic,2024,11,24,Sunday,47,26.76,1.43,8.92,151.89,5.68,0.04,3.61,0.05,5.36,0.33,33.0,4.68,467.6
49,Data Analytics Course,110.0,3524.0,248.86,19.0,10.0,0.09,1524.0,2024-11-21,Hyderabad,Mobile,Learn Data Analytics,2024,11,21,Thursday,47,24.89,2.26,13.1,152.4,6.12,0.03,3.12,0.09,9.09,0.53,53.0,5.12,512.39
50,Data Analytics Course,192.0,5938.0,182.84,26.0,5.0,0.03,1080.0,2024-12-11,Hyderabad,Mobile,Analytics For Data,2024,12,11,Wednesday,50,36.57,0.95,7.03,216.0,5.91,0.03,3.23,0.03,2.6,0.19,19.0,4.91,490.68
51,Data Analytics Course,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,Hyderabad,Tablet,Analytics For Data,2024,11,24,Sunday,47,41.32,2.05,12.91,349.2,8.45,0.03,2.56,0.05,4.95,0.31,31.0,7.45,745.03
52,Data Analytics Course,157.0,3315.0,189.56,15.0,10.0,0.06,1026.0,2024-11-25,Hyderabad,Mobile,Online Data Analytic,2024,11,25,Monday,48,18.96,1.21,12.64,102.6,5.41,0.05,4.74,0.06,6.37,0.67,67.0,4.41,441.25
53,Data Analytics Course,113.0,4945.0,187.66,15.0,10.0,0.09,1564.0,2024-11-26,Hyderabad,Tablet,Learn Data Analytics,2024,11,26,Tuesday,48,18.77,1.66,12.51,156.4,8.33,0.02,2.29,0.09,8.85,0.67,67.0,7.33,733.42
54,Data Analytics Course,96.0,3166.0,196.15,29.0,7.0,0.07,1902.0,2024-11-26,Hyderabad,Desktop,Learn Data Analytics,2024,11,26,Tuesday,48,28.02,2.04,6.76,271.71,9.7,0.03,3.03,0.07,7.29,0.24,24.0,8.7,869.67
55,Data Analytics Course,125.0,4223.0,183.68,15.0,6.0,0.05,1267.0,2024-05-11,Hyderabad,Desktop,Data Analytics Online,2024,5,11,Saturday,19,30.61,1.47,12.25,211.17,6.9,0.03,2.96,0.05,4.8,0.4,40.0,5.9,589.79
56,Data Analytics Course,104.0,4798.0,210.1,18.0,3.0,0.03,1340.0,2024-11-21,Hyderabad,Desktop,Analytics For Data,2024,11,21,Thursday,47,70.03,2.02,11.67,446.67,6.38,0.02,2.17,0.03,2.88,0.17,17.0,5.38,537.79
57,Data Analytics Course,194.0,5655.0,208.58,13.0,6.0,0.03,1692.0,2024-11-16,Hyderabad,Mobile,Data Analytics Training,2024,11,16,Saturday,46,34.76,1.08,16.04,282.0,8.11,0.03,3.43,0.03,3.09,0.46,46.0,7.11,711.2
58,Data Analytics Course,144.0,5140.0,219.48,19.0,8.0,0.06,1054.0,2024-11-18,Hyderabad,Desktop,Data Analytics Online,2024,11,18,Monday,47,27.44,1.52,11.55,131.75,4.8,0.03,2.8,0.06,5.56,0.42,42.0,3.8,380.23
59,Data Analytics Course,179.0,3025.0,238.81,17.0,3.0,0.02,1498.65,2024-11-11,Hyderabad,Mobile,Data Analytics Online,2024,11,11,Monday,46,79.6,1.33,14.05,499.55,6.28,0.06,5.92,0.02,1.68,0.18,18.0,5.28,527.55
60,Data Analytics Course,166.0,5223.0,189.76,18.0,7.0,0.04,1219.0,2024-11-16,Hyderabad,Tablet,Data Analytics Course,2024,11,16,Saturday,46,27.11,1.14,10.54,174.14,6.42,0.03,3.18,0.04,4.22,0.39,39.0,5.42,542.39
61,Data Analytics Course,166.0,5089.0,215.09,26.0,7.0,0.04,1946.0,2024-11-11,Hyderabad,Tablet,Analytics For Data,2024,11,11,Monday,46,30.73,1.3,8.27,278.0,9.05,0.03,3.26,0.04,4.22,0.27,27.0,8.05,804.74
62,Data Analytics Course,118.0,5016.0,204.31,19.0,9.0,0.08,1833.0,2024-08-11,Hyderabad,Desktop,Analytics For Data,2024,8,11,Sunday,32,22.7,1.73,10.75,203.67,8.97,0.02,2.35,0.08,7.63,0.47,47.0,7.97,797.17
63,Data Analytics Course,185.0,3617.0,222.32,24.0,7.0,0.04,1963.0,2024-11-23,Hyderabad,Mobile,Data Analytics Course,2024,11,23,Saturday,47,31.76,1.2,9.26,280.43,8.83,0.05,5.11,0.04,3.78,0.29,29.0,7.83,782.96
64,Data Analytics Course,116.0,3764.0,232.03,28.0,10.0,0.09,1348.0,2024-11-20,Hyderabad,Tablet,Data Analytics Course,2024,11,20,Wednesday,47,23.2,2.0,8.29,134.8,5.81,0.03,3.08,0.09,8.62,0.36,36.0,4.81,480.96
65,Data Analytics Course,99.0,4489.0,183.73,15.0,6.0,0.06,1264.0,2024-05-11,Hyderabad,Desktop,Online Data Analytic,2024,5,11,Saturday,19,30.62,1.86,12.25,210.67,6.88,0.02,2.21,0.06,6.06,0.4,40.0,5.88,587.97
66,Data Analytics Course,172.0,4441.0,221.18,14.0,8.0,0.05,1771.0,2024-11-27,Hyderabad,Mobile,Analytics For Data,2024,11,27,Wednesday,48,27.65,1.29,15.8,221.38,8.01,0.04,3.87,0.05,4.65,0.57,57.0,7.01,700.71
67,Data Analytics Course,138.0,5751.0,199.11,26.0,9.0,0.07,1337.0,2024-10-11,Hyderabad,Desktop,Data Analytics Online,2024,10,11,Friday,41,22.12,1.44,7.66,148.56,6.71,0.02,2.4,0.07,6.52,0.35,35.0,5.71,571.49
68,Data Analytics Course,84.0,4036.0,234.22,23.0,10.0,0.12,1287.0,2024-11-04,Hyderabad,Desktop,Learn Data Analytics,2024,11,4,Monday,45,23.42,2.79,10.18,128.7,5.49,0.02,2.08,0.12,11.9,0.43,43.0,4.49,449.48
69,Data Analytics Course,124.0,4942.0,240.59,18.0,3.0,0.02,1922.0,2024-11-16,Hyderabad,Desktop,Learn Data Analytics,2024,11,16,Saturday,46,80.2,1.94,13.37,640.67,7.99,0.03,2.51,0.02,2.42,0.17,17.0,6.99,698.87
70,Data Analytics Course,122.0,4989.0,215.48,12.0,5.0,0.04,1975.0,2024-06-11,Hyderabad,Mobile,Data Analytics Online,2024,6,11,Tuesday,24,43.1,1.77,17.96,395.0,9.17,0.02,2.45,0.04,4.1,0.42,42.0,8.17,816.56
71,Data Analytics Course,180.0,3006.0,228.14,22.0,7.0,0.04,1556.0,2024-04-11,Hyderabad,Tablet,Learn Data Analytics,2024,4,11,Thursday,15,32.59,1.27,10.37,222.29,6.82,0.06,5.99,0.04,3.89,0.32,32.0,5.82,582.04
72,Data Analytics Course,133.0,3728.0,199.13,11.0,10.0,0.08,1498.65,2024-09-11,Hyderabad,Desktop,Data Analytics Online,2024,9,11,Wednesday,37,19.91,1.5,18.1,149.86,7.53,0.04,3.57,0.08,7.52,0.91,91.0,6.53,652.6
73,Data Analytics Course,164.0,3734.0,225.39,27.0,8.0,0.05,1728.0,2024-11-12,Hyderabad,Tablet,Learn Data Analytics,2024,11,12,Tuesday,46,28.17,1.37,8.35,216.0,7.67,0.04,4.39,0.05,4.88,0.3,30.0,6.67,666.67
74,Data Analytics Course,150.0,4621.0,246.3,15.0,6.0,0.04,1554.0,2024-09-11,Hyderabad,Desktop,Data Analytics Online,2024,9,11,Wednesday,37,41.05,1.64,16.42,259.0,6.31,0.03,3.25,0.04,4.0,0.4,40.0,5.31,530.94
75,Data Analytics Course,97.0,3212.0,212.55,27.0,10.0,0.1,1994.0,2024-11-23,Hyderabad,Desktop,Analytics For Data,2024,11,23,Saturday,47,21.26,2.19,7.87,199.4,9.38,0.03,3.02,0.1,10.31,0.37,37.0,8.38,838.13
76,Data Analytics Course,128.0,4225.0,228.24,30.0,4.0,0.03,1618.0,2024-08-11,Hyderabad,Mobile,Learn Data Analytics,2024,8,11,Sunday,32,57.06,1.78,7.61,404.5,7.09,0.03,3.03,0.03,3.12,0.13,13.0,6.09,608.9
77,Data Analytics Course,99.0,4779.0,233.78,26.0,10.0,0.1,1086.0,2024-05-11,Hyderabad,Desktop,Online Data Analytic,2024,5,11,Saturday,19,23.38,2.36,8.99,108.6,4.65,0.02,2.07,0.1,10.1,0.38,38.0,3.65,364.54
78,Data Analytics Course,86.0,5352.0,234.05,11.0,5.0,0.06,1364.0,2024-09-11,Hyderabad,Tablet,Online Data Analytic,2024,9,11,Wednesday,37,46.81,2.72,21.28,272.8,5.83,0.02,1.61,0.06,5.81,0.45,45.0,4.83,482.78
79,Data Analytics Course,118.0,5405.0,187.28,25.0,7.0,0.06,1836.0,2024-05-11,Hyderabad,Tablet,Analytics For Data,2024,5,11,Saturday,19,26.75,1.59,7.49,262.29,9.8,0.02,2.18,0.06,5.93,0.28,28.0,8.8,880.35
80,Data Analytics Course,127.0,5430.0,199.13,14.0,6.0,0.05,1932.0,2024-11-25,Hyderabad,Mobile,Analytics For Data,2024,11,25,Monday,48,33.19,1.57,14.22,322.0,9.7,0.02,2.34,0.05,4.72,0.43,43.0,8.7,870.22
81,Data Analytics Course,83.0,4808.0,241.35,20.0,7.0,0.08,1038.0,2024-11-30,Hyderabad,Mobile,Learn Data Analytics,2024,11,30,Saturday,48,34.48,2.91,12.07,148.29,4.3,0.02,1.73,0.08,8.43,0.35,35.0,3.3,330.08
82,Data Analytics Course,149.0,3587.0,217.53,23.0,8.0,0.05,1498.65,2024-11-17,Hyderabad,Mobile,Data Analytics Online,2024,11,17,Sunday,46,27.19,1.46,9.46,187.33,6.89,0.04,4.15,0.05,5.37,0.35,35.0,5.89,588.94
83,Data Analytics Course,168.0,4683.0,215.28,30.0,8.0,0.05,1327.0,2024-11-28,Hyderabad,Mobile,Data Analytics Online,2024,11,28,Thursday,48,26.91,1.28,7.18,165.88,6.16,0.04,3.59,0.05,4.76,0.27,27.0,5.16,516.41
84,Data Analytics Course,112.0,5814.0,227.38,11.0,8.0,0.07,1467.0,2024-03-11,Hyderabad,Tablet,Analytics For Data,2024,3,11,Monday,11,28.42,2.03,20.67,183.38,6.45,0.02,1.93,0.07,7.14,0.73,73.0,5.45,545.18
85,Data Analytics Course,123.0,3292.0,233.2,28.0,6.0,0.05,1174.0,2024-11-19,Hyderabad,Desktop,Data Analytics Training,2024,11,19,Tuesday,47,38.87,1.9,8.33,195.67,5.03,0.04,3.74,0.05,4.88,0.21,21.0,4.03,403.43
86,Data Analytics Course,174.0,4305.0,206.02,20.0,3.0,0.02,1057.0,2024-11-23,Hyderabad,Desktop,Learn Data Analytics,2024,11,23,Saturday,47,68.67,1.18,10.3,352.33,5.13,0.04,4.04,0.02,1.72,0.15,15.0,4.13,413.06
87,Data Analytics Course,143.0,4368.0,215.09,27.0,7.0,0.05,1199.0,2024-11-03,Hyderabad,Tablet,Analytics For Data,2024,11,3,Sunday,44,30.73,1.5,7.97,171.29,5.57,0.03,3.27,0.05,4.9,0.26,26.0,4.57,457.44
88,Data Analytics Course,195.0,5935.0,209.68,23.0,9.0,0.05,1966.0,2024-07-11,Hyderabad,Tablet,Online Data Analytic,2024,7,11,Thursday,28,23.3,1.08,9.12,218.44,9.38,0.03,3.29,0.05,4.62,0.39,39.0,8.38,837.62
89,Data Analytics Course,176.0,5847.0,241.04,13.0,6.0,0.03,1194.0,2024-02-11,Hyderabad,Desktop,Online Data Analytic,2024,2,11,Sunday,6,40.17,1.37,18.54,199.0,4.95,0.03,3.01,0.03,3.41,0.46,46.0,3.95,395.35
90,Data Analytics Course,141.0,4851.0,227.39,28.0,5.0,0.04,1821.0,2024-11-15,Hyderabad,Desktop,Analytics For Data,2024,11,15,Friday,46,45.48,1.61,8.12,364.2,8.01,0.03,2.91,0.04,3.55,0.18,18.0,7.01,700.83
91,Data Analytics Course,108.0,4710.0,204.16,19.0,10.0,0.09,1731.0,2024-11-20,Hyderabad,Tablet,Data Analytics Online,2024,11,20,Wednesday,47,20.42,1.89,10.75,173.1,8.48,0.02,2.29,0.09,9.26,0.53,53.0,7.48,747.86
92,Data Analytics Course,112.0,3345.0,215.09,11.0,6.0,0.05,1859.0,2024-11-23,Hyderabad,Tablet,Analytics For Data,2024,11,23,Saturday,47,35.85,1.92,19.55,309.83,8.64,0.03,3.35,0.05,5.36,0.55,55.0,7.64,764.29
93,Data Analytics Course,138.96,5903.0,184.41,23.0,9.0,0.06,1188.0,2024-11-20,Hyderabad,Tablet,Online Data Analytic,2024,11,20,Wednesday,47,20.49,1.33,8.02,132.0,6.44,0.02,2.35,0.06,6.48,0.39,39.0,5.44,544.22
94,Data Analytics Course,145.0,5004.0,216.45,22.0,5.0,0.03,1496.0,2024-01-11,Hyderabad,Tablet,Data Analytics Online,2024,1,11,Thursday,2,43.29,1.49,9.84,299.2,6.91,0.03,2.9,0.03,3.45,0.23,23.0,5.91,591.15
95,Data Analytics Course,183.0,3947.0,197.3,15.0,8.0,0.04,1645.0,2024-11-14,Hyderabad,Desktop,Data Analytics Training,2024,11,14,Thursday,46,24.66,1.08,13.15,205.62,8.34,0.05,4.64,0.04,4.37,0.53,53.0,7.34,733.76
96,Data Analytics Course,113.0,3690.0,229.42,20.0,5.0,0.04,1915.0,2024-11-28,Hyderabad,Tablet,Learn Data Analytics,2024,11,28,Thursday,48,45.88,2.03,11.47,383.0,8.35,0.03,3.06,0.04,4.42,0.25,25.0,7.35,734.71
97,Data Analytics Course,101.0,5943.0,187.32,27.0,6.0,0.06,1614.0,2024-11-15,Hyderabad,Tablet,Data Analytics Online,2024,11,15,Friday,46,31.22,1.85,6.94,269.0,8.62,0.02,1.7,0.06,5.94,0.22,22.0,7.62,761.63
98,Data Analytics Course,189.0,5357.0,222.5,24.0,3.0,0.02,1839.0,2024-11-25,Hyderabad,Tablet,Data Analytics Course,2024,11,25,Monday,48,74.17,1.18,9.27,613.0,8.27,0.04,3.53,0.02,1.59,0.12,12.0,7.27,726.52
99,Data Analytics Course,154.0,3596.0,236.14,30.0,9.0,0.06,1036.0,2024-06-11,Hyderabad,Tablet,Online Data Analytic,2024,6,11,Tuesday,24,26.24,1.53,7.87,115.11,4.39,0.04,4.28,0.06,5.84,0.3,30.0,3.39,338.72
100,Data Analytics Course,179.0,5162.0,246.76,16.0,5.0,0.03,1052.0,2024-11-29,Hyderabad,Desktop,Online Data Analytic,2024,11,29,Friday,48,49.35,1.38,15.42,210.4,4.26,0.03,3.47,0.03,2.79,0.31,31.0,3.26,326.33
